Volume,Inks
3.03635525112e-05,"['Lamy crystal beryl0.3172305520.38562575', 'O cherry blossom0.4046063720.566762865', 'Mv Caribbean 0.2212766260.22019729', 'Peach haze D0.1002408790.106591292']"
3.03048391971e-05,"['V karol 0.04918261990.0568519942', 'Lamy red0.3185556230.394874483', 'Mg sapphire0.1194242240.106027357', 'O blue iris0.419206470.58768481']"
3.02995282455e-05,"['Lamy red0.3185556230.394874483', 'I tsutsuji 0.2412337060.279461116', 'H Bleu Azur0.5106806760.636918247', 'Kaweco green0.04393515740.0426193513']"
3.02834393607e-05,"['V karol 0.04918261990.0568519942', 'Lamy red0.3185556230.394874483', 'C photon0.192959860.211927474', 'O blue iris0.419206470.58768481']"
3.0247227466e-05,"['Lamy red0.3185556230.394874483', 'Pw denneweg groen 0.2931700650.338017762', 'H Bleu Azur0.5106806760.636918247', 'Rose cyclamen H0.3078682120.344650418']"
3.02439194045e-05,"['H Bleu Azur0.5106806760.636918247', 'Peach haze D0.1002408790.106591292', 'Kaweco green0.04393515740.0426193513', 'Platinum violet0.3862266540.463573724']"
3.02397572444e-05,"['Iwi frost descent0.1077070610.105629526', 'Lamy crystal beryl0.3172305520.38562575', 'Lamy red0.3185556230.394874483', 'FWP blue cotton candy0.4129520650.567712903']"
3.01886175281e-05,"['Lamy crystal beryl0.3172305520.38562575', 'Lamy red0.3185556230.394874483', 'O puppy pods0.3781083820.439187646', 'Kaweco green0.04393515740.0426193513']"
3.01797052238e-05,"['Lamy red0.3185556230.394874483', 'H Bleu Azur0.5106806760.636918247', 'Platinum violet0.3862266540.463573724', 'Inkbara cyan0.2017007770.208343148']"
3.01667340193e-05,"['Lamy crystal beryl0.3172305520.38562575', 'Pw denneweg groen 0.2931700650.338017762', 'FWP blue cotton candy0.4129520650.567712903', 'Peach haze D0.1002408790.106591292']"
3.01511681525e-05,"['Lamy red0.3185556230.394874483', 'Pw denneweg groen 0.2931700650.338017762', 'H Bleu Azur0.5106806760.636918247', 'Platinum violet0.3862266540.463573724']"
3.0144888604e-05,"['Lamy red0.3185556230.394874483', 'Kaweco green0.04393515740.0426193513', 'Platinum violet0.3862266540.463573724', 'Colorberse 7 clear cyan0.4473693970.585861981']"
3.0134384956e-05,"['V karol 0.04918261990.0568519942', 'Mg turquoise0.2829258440.310881257', 'Peach haze D0.1002408790.106591292', 'Dragon catfish N0.4158996640.528320014']"
3.01049751835e-05,"['Lamy crystal beryl0.3172305520.38562575', 'Lamy red0.3185556230.394874483', 'Mv Caribbean 0.2212766260.22019729', 'H Bleu Azur0.5106806760.636918247']"
3.0097852374e-05,"['Lamy red0.3185556230.394874483', 'T copper patina0.3165754680.387345076', 'Kaweco green0.04393515740.0426193513', 'Platinum violet0.3862266540.463573724']"
3.00927005552e-05,"['Lamy red0.3185556230.394874483', 'KWZ turquoise 0.1805804220.160459518', 'H Bleu Azur0.5106806760.636918247', 'Platinum violet0.3862266540.463573724']"
3.00776169341e-05,"['Lamy crystal beryl0.3172305520.38562575', 'Lamy red0.3185556230.394874483', 'FWP blue cotton candy0.4129520650.567712903', 'Inkbara cyan0.2017007770.208343148']"
3.00759575106e-05,"['Lamy crystal beryl0.3172305520.38562575', 'KWZ turquoise 0.1805804220.160459518', 'H Bleu Azur0.5106806760.636918247', 'Peach haze D0.1002408790.106591292']"
