Volume,Inks
2.24259334466e-05,"['1magentaEpson', '14cyanEpson', '16yellowpigment - water-resistant', '42magentaEpson']"
2.2332554157e-05,"['20rednan', '35yellowCanon', '39light magentaEpson', '41cyanEpson']"
2.23110181773e-05,"['3orangeEpson', '13magentapigment - water-resistant', '16yellowpigment - water-resistant', '30greenEpson']"
2.21840869319e-05,"['1magentaEpson', '30greenEpson', '33yellowEpson', '42magentaEpson']"
2.213290633e-05,"['16yellowpigment - water-resistant', '20rednan', '30greenEpson', '39light magentaEpson']"
2.2098188827e-05,"['1magentaEpson', '16yellowpigment - water-resistant', '39light magentaEpson', '41cyanEpson']"
2.2092093832e-05,"['3orangeEpson', '13magentapigment - water-resistant', '16yellowpigment - water-resistant', '41cyanEpson']"
2.2086634227e-05,"['1magentaEpson', '18graynan', '36yellowEpson', '40light cyanEpson']"
2.20320034481e-05,"['1magentaEpson', '14cyanEpson', '36yellowEpson', '42magentaEpson']"
2.20274134725e-05,"['3orangeEpson', '20rednan', '30greenEpson', '36yellowEpson']"
2.20265788322e-05,"['1magentaEpson', '33yellowEpson', '39light magentaEpson', '41cyanEpson']"
2.19933031215e-05,"['13magentapigment - water-resistant', '30greenEpson', '33yellowEpson', '39light magentaEpson']"
2.19715461774e-05,"['13magentapigment - water-resistant', '14cyanEpson', '33yellowEpson', '39light magentaEpson']"
2.19186016597e-05,"['13magentapigment - water-resistant', '36yellowEpson', '40light cyanEpson', '42magentaEpson']"
2.18874266928e-05,"['1magentaEpson', '3orangeEpson', '9cyanCanon', '16yellowpigment - water-resistant']"
2.18778983618e-05,"['1magentaEpson', '14cyanEpson', '33yellowEpson', '42magentaEpson']"
2.18479054306e-05,"['13magentapigment - water-resistant', '16yellowpigment - water-resistant', '22blueEpson', '41cyanEpson']"
2.18335271911e-05,"['16yellowpigment - water-resistant', '20rednan', '39light magentaEpson', '41cyanEpson']"
